SKU,Name,Brand,Category,Revenue_Tier,Revenue,Image_URL
ELEC-LAP-001-A,Flip Cover,Unique Designes,Electronics,A,225566910.00,/catalogue/ELEC-LAP-001-A.webp
FURN-VIS-265-A,FabHomeDecor Double Sofa,FabHomeDecor,Furniture,A,191366100.00,/catalogue/FURN-VIS-265-A.webp
FURN-PAR-229-A,Riddhi Impex Blue Table Runner,Riddhi Impex,Furniture,A,173916620.00,/catalogue/FURN-PAR-229-A.webp
FURN-WOR-247-A,Alexus Chair,Alexus,Furniture,A,165546560.00,/catalogue/FURN-WOR-247-A.webp
NETW-POE-104-A,iBall Wireless Router,iBall,Networking,A,59679040.00,/catalogue/NETW-POE-104-A.webp
NETW-FWL-005-A,Tenda Wireless Router,Tenda,Networking,A,48179197.00,/catalogue/NETW-FWL-005-A.webp
FURN-VIS-223-A,Vgstore Table,Vgstore,Furniture,A,42245340.00,/catalogue/FURN-VIS-223-A.webp
FURN-MOB-175-A,IBS Plastic Table,IBS,Furniture,A,42081950.00,/catalogue/FURN-MOB-175-A.webp
FURN-DSK-002-A,ARRA Wood Sofa,ARRA,Furniture,A,41072133.00,/catalogue/FURN-DSK-002-A.webp
ELEC-TAB-003-A,ShopFloor.XYZ USB Light,ShopFloor.XYZ,Electronics,A,38043913.00,/catalogue/ELEC-TAB-003-A.webp
FURN-PAR-211-A,Durian Leatherette Sofa,Durian,Furniture,A,37568790.00,/catalogue/FURN-PAR-211-A.webp
ELEC-MON-002-A,ShadowFax Usb Fan,ShadowFax,Electronics,A,34537809.00,/catalogue/ELEC-MON-002-A.webp
ELEC-PHN-004-A,RRP Led Light,RRP,Electronics,A,29923803.00,/catalogue/ELEC-PHN-004-A.webp
FURN-STO-205-A,Furnstyl Sofa,Furnstyl,Furniture,A,28769880.00,/catalogue/FURN-STO-205-A.webp
FURN-WOR-253-A,Lovely Plastic Desk Chair,Lovely,Furniture,A,28739480.00,/catalogue/FURN-WOR-253-A.webp
FURN-STO-127-A,Nilkamal Double Mattress,Nilkamal,Furniture,A,26807760.00,/catalogue/FURN-STO-127-A.webp
NETW-NET-158-A,Huawei Wireless Router,Huawei,Networking,A,26197360.00,/catalogue/NETW-NET-158-A.webp
ELEC-POR-269-A,DivineXt Flexible Usb Fan,DivineXt,Electronics,A,26194350.00,/catalogue/ELEC-POR-269-A.webp
NETW-FIB-266-A,TP-LINK Router,TP-LINK,Networking,A,25792820.00,/catalogue/NETW-FIB-266-A.webp
FURN-TBL-005-A,Bhavya Sofa Cover,Bhavya,Furniture,A,25607224.00,/catalogue/FURN-TBL-005-A.webp
OFFC-HIG-216-A,Tucasa Table Lamp,Tucasa,Office Supplies,A,24603200.00,/catalogue/OFFC-HIG-216-A.webp
FURN-MOB-217-A,Sofa Cover,Unique Collections,Furniture,A,24220680.00,/catalogue/FURN-MOB-217-A.webp
FURN-PAR-157-A,Cello Furniture Polypropylene,Cello Furniture,Furniture,A,23648640.00,/catalogue/FURN-PAR-157-A.webp
NETW-PAT-110-A,Netgear Router,Netgear,Networking,A,22376370.00,/catalogue/NETW-PAT-110-A.webp
NETW-RAC-140-A,Asus Router,Asus,Networking,A,21974040.00,/catalogue/NETW-RAC-140-A.webp
FURN-STO-181-A,Brown Table,JewelKraft Designs,Furniture,A,21587250.00,/catalogue/FURN-STO-181-A.webp
FURN-PAR-187-A,Wood Dressing Table,@home,Furniture,A,20507140.00,/catalogue/FURN-PAR-187-A.webp
NETW-POE-260-A,TRENDnet Wireless Router,TRENDnet,Networking,A,20466720.00,/catalogue/NETW-POE-260-A.webp
ELEC-USB-227-A,Speaker,Shortkut enterprises,Electronics,A,19283670.00,/catalogue/ELEC-USB-227-A.webp
NETW-POE-194-A,D-Link Wireless Router,D-Link,Networking,A,18780420.00,/catalogue/NETW-POE-194-A.webp
NETW-POE-236-A,Linksys Wi-Fi Router,Linksys,Networking,A,18578160.00,/catalogue/NETW-POE-236-A.webp
NETW-FIB-188-A,Belkin Router,Belkin,Networking,A,18032960.00,/catalogue/NETW-FIB-188-A.webp
NETW-POE-176-A,Lava 3G Router,Lava,Networking,A,17697510.00,/catalogue/NETW-POE-176-A.webp
FURN-MOB-163-A,Griiham Cotton Sofa Cover,Griiham,Furniture,A,17236800.00,/catalogue/FURN-MOB-163-A.webp
FURN-PAR-199-A,Anmol Cotton Wardrobe,Anmol,Furniture,A,17145600.00,/catalogue/FURN-PAR-199-A.webp
NETW-NET-254-A,Beetel Router,Beetel,Networking,A,17111050.00,/catalogue/NETW-NET-254-A.webp
NETW-RAC-164-A,Toto Link Wireless Router,Toto Link,Networking,A,16613520.00,/catalogue/NETW-RAC-164-A.webp
ELEC-LAP-101-A,Shadow Fax Usb Fan,Shadow Fax,Electronics,A,16610880.00,/catalogue/ELEC-LAP-101-A.webp
FURN-PAR-241-A,Purple Table Runner,Zaffre's,Furniture,A,16534000.00,/catalogue/FURN-PAR-241-A.webp
SAFE-SAF-267-A,Speedwav Plastic Helmet,Speedwav,Safety & PPE,A,16056000.00,/catalogue/SAFE-SAF-267-A.webp
FURN-VIS-139-A,Intex Chair,Intex,Furniture,A,15833220.00,/catalogue/FURN-VIS-139-A.webp
ELEC-BLU-113-A,Bracevor Laptop Case,Bracevor,Electronics,A,15383250.00,/catalogue/ELEC-BLU-113-A.webp
FURN-MOB-133-A,Amardeep Wardrobe,Amardeep,Furniture,A,15338470.00,/catalogue/FURN-MOB-133-A.webp
